Program,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BBA,MGT 3229,Entrepreneurship and Business Plan Development,A,Jkn,"March 12, 2024",1:45 PM - 3:30 PM,202 (111171276-111201093)                                                                                                                                                                                                                       203 (111201161-111213121)
BBA,MIS 2218,Advanced Computer Applications in Business,A,ZN,"March 12, 2024",1:45 PM - 3:30 PM,Computer Lab 1 (0226) (111191091-1112310160)
BBA,MIS 2218,Advanced Computer Applications in Business,B,ZN,"March 12, 2024",1:45 PM - 3:30 PM,Computer Lab 2 (0227) (111183044-111222037)                                                                                                                                                                                                                       Computer Lab 3 (0327) (111222051-114222004)
BBA,MIS 2218,Advanced Computer Applications in Business,C,ZN,"March 12, 2024",1:45 PM - 3:30 PM,Computer Lab 4 (0427) (111191073-111222095)                                                                                                                                                                                                                       Computer Lab 5 (0523) (111222111-1142230017)
BBA,MIS 2218,Advanced Computer Applications in Business,D,ZN,"March 12, 2024",1:45 PM - 3:30 PM,Computer Lab 6 (0524) (111192061-111221102)                                                                                                                                                                                                                       Computer Lab 7 (0522) (111221115-114222003)
BBA,MIS 2218,Advanced Computer Applications in Business,E,MdQ,"March 12, 2024",1:45 PM - 3:30 PM,Computer Lab 9 (0529) (111192076-1142230022)
BBA,ACN 1205/AIS 1201,Financial Accounting I/Principles of Accounting,A,MHM,"March 13, 2024",9:00 AM - 10:45 AM,204 (111202111-1112320116)                                                                                                                                                                                                                       205 (1112330046-1142330030)
BBA,ACN 1205/AIS 1201,Financial Accounting I/Principles of Accounting,B,IJ,"March 13, 2024",9:00 AM - 10:45 AM,206 (111212029-1112330011)                                                                                                                                                                                                                       207 (1112330031-1142330026)
BBA,ACN 1205/AIS 1201,Financial Accounting I/Principles of Accounting,C,HAh,"March 13, 2024",9:00 AM - 10:45 AM,208 (111192018-1112330014)                                                                                                                                                                                                                       209 (1112330015-1142330024)
BBA,ACN 1205/AIS 1201,Financial Accounting I/Principles of Accounting,D,SKa,"March 13, 2024",9:00 AM - 10:45 AM,210 (111182063-1112320010)                                                                                                                                                                                                                       211 (1112320035-1142330033)
BBA,ACN 4136/AIS 2204,Advanced Accounting-I/Advanced Financial Accounting - I,A,MHM,"March 13, 2024",9:00 AM - 10:45 AM,211 (111191026-1142310004)
BBA,HRM 4153,Human Resource Planning,A,HRJ,"March 13, 2024",9:00 AM - 10:45 AM,201 (111173038-111201015)                                                                                                                                                                                                                       202 (111201028-111222079)
BBA,ACN 1309/AIS 1302,Financial Accounting II/Intermediate Accounting,A,FAhS,"March 13, 2024",11:15 AM - 1:00 PM,202 (111181100-1112310053)                                                                                                                                                                                                                       203 (1112310056-1142230014)
BBA,ACN 1309/AIS 1302,Financial Accounting II/Intermediate Accounting,B,IJ,"March 13, 2024",11:15 AM - 1:00 PM,204 (111193054-1112230203)                                                                                                                                                                                                                       205 (1112230213-1142310001)
