Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSEEE,ENG 1013,English II,Q,SaAr,"May 12, 2024",11:30 AM - 01:30 PM,723 (0212230032-0212330165)
BSEEE,ENG 1013,English II,S,SaAn,"May 12, 2024",11:30 AM - 01:30 PM,603 (021213014-0212330080)                                                                                                                                                                                                                       604 (0212330081-0212330160)
BSEEE,ENG 1013/ENG 103,English II,T,SaAr,"May 12, 2024",11:30 AM - 01:30 PM,803 (021181107-0212330163)
BSCSE,CSE 313/CSE 3313,Computer Architecture,B,SAhSh,"May 12, 2024",02:00 PM - 04:00 PM,431 (011172150-011221052)                                                                                                                                                                                                                       432 (011221097-0112310418)
BSCSE,CSE 313/CSE 3313,Computer Architecture,C,MNTA,"May 12, 2024",02:00 PM - 04:00 PM,805 (011153072-011221049)                                                                                                                                                                                                                       806 (011221126-0112310038)
BSCSE,CSE 313/CSE 3313,Computer Architecture,E,RaK,"May 12, 2024",02:00 PM - 04:00 PM,425 (011162047-011212022)                                                                                                                                                                                                                       428 (011212051-021171007)
BSCSE,CSE 3313,Computer Architecture,A,SAhSh,"May 12, 2024",02:00 PM - 04:00 PM,406 (011193036-011221226)                                                                                                                                                                                                                       407 (011221235-0112310574)
BSCSE,CSE 3313,Computer Architecture,D,UR,"May 12, 2024",02:00 PM - 04:00 PM,423 (011212039-011221282)                                                                                                                                                                                                                       429 (011221310-0112310033)
BSCSE,CSE 4889/CSE 489,Machine Learning,A,DMF,"May 12, 2024",02:00 PM - 04:00 PM,323 (011171318-011202080)                                                                                                                                                                                                                       324 (011202081-011221096)
BSCSE,CSE 4889/CSE 489,Machine Learning,B,DMF,"May 12, 2024",02:00 PM - 04:00 PM,325 (011191014-011212108)
BSEEE,EEE 105/EEE 2101,Electronics I,A,RaBr,"May 12, 2024",02:00 PM - 04:00 PM,408 (021201080-0212310034)                                                                                                                                                                                                                       409 (0212310035-0212330124)
BSEEE,EEE 105/EEE 2101,Electronics I,C,RaBr,"May 12, 2024",02:00 PM - 04:00 PM,425 (021201015-0212230011)                                                                                                                                                                                                                       428 (0212230015-0212310053)
BSEEE,EEE 401/EEE 4109,Control System,A,MKMR,"May 12, 2024",02:00 PM - 04:00 PM,803 (021131142-021211014)
BSEEE,MAT 2109/MATH 201,Coordinate Geometry and Vector Analysis,A,TN,"May 12, 2024",02:00 PM - 04:00 PM,605 (021153011-021222021)                                                                                                                                                                                                                       630 (021222029-0212230127)
